geografia_sk,address_id,line1,line2,city,postal_code,country_code,nombre_provincia
77,1073,Calle 9639,,Mar del Plata,3039,AR,Buenos Aires
78,1074,Calle 3183,Piso 7 Dto B,Mendoza,9349,AR,Mendoza
79,1075,Calle 946,Piso 11 Dto B,Villa Carlos Paz,5043,AR,Córdoba
80,1076,Calle 463,,La Plata,5281,AR,Buenos Aires
81,1077,Calle 4167,,Mendoza,1202,AR,Mendoza
82,1078,Calle 6298,,Rafaela,9495,AR,Santa Fe
83,1079,Calle 6994,Piso 5 Dto C,Rosario,9202,AR,Santa Fe
84,1080,Calle 9603,Piso 5 Dto C,Villa Carlos Paz,2456,AR,Córdoba
85,1081,Calle 2339,,Villa Carlos Paz,7520,AR,Córdoba
86,1082,Calle 8057,,CABA,7845,AR,Buenos Aires
87,1083,Calle 7061,Piso 3 Dto A,La Plata,4053,AR,Buenos Aires
88,1084,Calle 8235,,CABA,4041,AR,Buenos Aires
89,1085,Calle 3144,Piso 5 Dto B,CABA,2789,AR,Buenos Aires
90,1086,Calle 6189,,CABA,6605,AR,Buenos Aires
91,1087,Calle 7950,,Villa Carlos Paz,2000,AR,Córdoba
92,1088,Calle 9543,,Rosario,9557,AR,Santa Fe
93,1089,Calle 4356,Piso 8 Dto B,Mar del Plata,8036,AR,Buenos Aires
94,1090,Calle 5165,Piso 4 Dto B,La Plata,7200,AR,Buenos Aires
95,1091,Calle 1642,Piso 1 Dto B,Godoy Cruz,3275,AR,Mendoza
96,1092,Calle 4579,Piso 12 Dto A,Río Cuarto,8404,AR,Córdoba
97,1093,Calle 3080,Piso 1 Dto C,Mar del Plata,1272,AR,Buenos Aires
98,1094,Calle 5334,,Rafaela,8938,AR,Santa Fe
99,1095,Calle 5708,,Córdoba,7305,AR,Córdoba
100,1096,Calle 2346,,Río Cuarto,3094,AR,Córdoba
101,1097,Calle 8991,Piso 8 Dto A,Santa Fe,2895,AR,Santa Fe
102,1098,Calle 3988,,Córdoba,2728,AR,Córdoba
103,1099,Calle 2626,Piso 6 Dto B,Mendoza,4610,AR,Mendoza
104,1100,Calle 2017,Piso 11 Dto A,Río Cuarto,2481,AR,Córdoba
105,1101,Calle 9842,Piso 2 Dto C,Rafaela,7176,AR,Santa Fe
106,1102,Calle 7160,Piso 4 Dto A,Río Cuarto,2895,AR,Córdoba
107,1103,Calle 5575,,CABA,2902,AR,Buenos Aires
108,1104,Calle 6230,,La Plata,6092,AR,Buenos Aires
109,1105,Calle 6360,Piso 7 Dto B,Córdoba,3069,AR,Córdoba
110,1106,Calle 3640,,Río Cuarto,9819,AR,Córdoba
111,1107,Calle 3587,Piso 8 Dto C,La Plata,3415,AR,Buenos Aires
112,1108,Calle 563,Piso 10 Dto B,Mar del Plata,9230,AR,Buenos Aires
113,1109,Calle 9404,,Mar del Plata,9110,AR,Buenos Aires
114,1110,Calle 964,,Villa Carlos Paz,4687,AR,Córdoba
115,1111,Calle 7988,Piso 12 Dto B,Mendoza,3608,AR,Mendoza
116,1112,Calle 6922,Piso 11 Dto B,La Plata,7412,AR,Buenos Aires
117,1113,Calle 4638,,Mar del Plata,9978,AR,Buenos Aires
118,1114,Calle 9510,Piso 1 Dto C,La Plata,8496,AR,Buenos Aires
119,1115,Calle 7905,,Villa Carlos Paz,4573,AR,Córdoba
120,1116,Calle 5935,,Córdoba,3418,AR,Córdoba
121,1117,Calle 2757,Piso 1 Dto A,Godoy Cruz,8763,AR,Mendoza
122,1118,Calle 8445,Piso 11 Dto B,Mendoza,3434,AR,Mendoza
123,1119,Calle 3947,Piso 7 Dto B,CABA,3826,AR,Buenos Aires
124,1120,Calle 1469,Piso 8 Dto C,Rafaela,5509,AR,Santa Fe
125,1121,Calle 1911,Piso 2 Dto A,CABA,9351,AR,Buenos Aires
126,1122,Calle 9382,,Mar del Plata,3967,AR,Buenos Aires
127,1123,Calle 7106,,Mar del Plata,2629,AR,Buenos Aires
128,1124,Calle 3030,,Mar del Plata,7451,AR,Buenos Aires
129,1125,Calle 8005,,Rafaela,4399,AR,Santa Fe
130,1126,Calle 2949,Piso 1 Dto C,Mar del Plata,6149,AR,Buenos Aires
131,1127,Calle 3379,,Mar del Plata,5206,AR,Buenos Aires
132,1128,Calle 8293,,CABA,7931,AR,Buenos Aires
133,1129,Calle 8511,Piso 5 Dto C,CABA,3291,AR,Buenos Aires
134,1130,Calle 5770,,Río Cuarto,2622,AR,Córdoba
135,1131,Calle 2322,,CABA,4539,AR,Buenos Aires
136,1132,Calle 6915,Piso 2 Dto C,Mar del Plata,5270,AR,Buenos Aires
137,1133,Calle 6555,Piso 8 Dto A,Córdoba,7968,AR,Córdoba
138,1134,Calle 4414,,CABA,7097,AR,Buenos Aires
139,1135,Calle 9912,,Río Cuarto,6183,AR,Córdoba
140,1136,Calle 4056,,Mar del Plata,9707,AR,Buenos Aires
141,1137,Calle 1081,,Villa Carlos Paz,6944,AR,Córdoba
142,1138,Calle 3699,,Rosario,7179,AR,Santa Fe
143,1139,Calle 2024,Piso 3 Dto C,CABA,9021,AR,Buenos Aires
144,1140,Calle 9375,Piso 5 Dto C,Mar del Plata,2623,AR,Buenos Aires
145,1141,Calle 2961,Piso 6 Dto C,La Plata,8812,AR,Buenos Aires
146,1142,Calle 8415,,Mar del Plata,3337,AR,Buenos Aires
147,1143,Calle 867,Piso 12 Dto C,Villa Carlos Paz,5081,AR,Córdoba
148,1144,Calle 7192,Piso 6 Dto B,Córdoba,5519,AR,Córdoba
149,1145,Calle 3749,,Mar del Plata,6007,AR,Buenos Aires
150,1146,Calle 1303,,Rosario,2534,AR,Santa Fe
151,1147,Calle 4684,,Córdoba,7946,AR,Córdoba
152,1148,Calle 7859,,Mendoza,7643,AR,Mendoza
153,1149,Calle 120,Piso 12 Dto B,Río Cuarto,5001,AR,Córdoba
154,1150,Calle 9952,,Córdoba,3864,AR,Córdoba
155,1151,Calle 8417,Piso 6 Dto A,CABA,9118,AR,Buenos Aires
156,1152,Calle 5538,,CABA,5752,AR,Buenos Aires
157,1153,Calle 3491,Piso 1 Dto C,La Plata,4562,AR,Buenos Aires
158,1154,Calle 8447,Piso 1 Dto B,San Rafael,1942,AR,Mendoza
159,1155,Calle 5383,,La Plata,1084,AR,Buenos Aires
160,1156,Calle 6588,,Rosario,8058,AR,Santa Fe
161,1157,Calle 8427,,Mar del Plata,8985,AR,Buenos Aires
162,1158,Calle 4099,Piso 4 Dto B,Mar del Plata,7132,AR,Buenos Aires
163,1159,Calle 8789,Piso 5 Dto A,CABA,8198,AR,Buenos Aires
164,1160,Calle 7111,,Mar del Plata,2813,AR,Buenos Aires
165,1161,Calle 6465,Piso 7 Dto C,CABA,1517,AR,Buenos Aires
166,1162,Calle 4355,Piso 2 Dto B,Villa Carlos Paz,9119,AR,Córdoba
167,1163,Calle 8223,Piso 12 Dto C,La Plata,3153,AR,Buenos Aires
168,1164,Calle 2067,,Mendoza,4874,AR,Mendoza
169,1165,Calle 7040,,Villa Carlos Paz,8116,AR,Córdoba
170,1166,Calle 1354,,La Plata,9376,AR,Buenos Aires
171,1167,Calle 4318,Piso 12 Dto A,CABA,4250,AR,Buenos Aires
172,1168,Calle 8231,,Córdoba,3436,AR,Córdoba
173,1169,Calle 629,,La Plata,7984,AR,Buenos Aires
174,1170,Calle 835,Piso 7 Dto B,Córdoba,4791,AR,Córdoba
175,1171,Calle 1006,,La Plata,5985,AR,Buenos Aires
176,1172,Calle 5752,,La Plata,6240,AR,Buenos Aires
177,1173,Calle 855,Piso 11 Dto C,CABA,4473,AR,Buenos Aires
178,1174,Calle 1651,Piso 7 Dto A,Mar del Plata,9049,AR,Buenos Aires
179,1175,Calle 1588,,CABA,6426,AR,Buenos Aires
180,1176,Calle 9649,Piso 9 Dto C,Villa Carlos Paz,4903,AR,Córdoba
181,1177,Calle 1430,,La Plata,1672,AR,Buenos Aires
182,1178,Calle 1617,Piso 2 Dto C,La Plata,5939,AR,Buenos Aires
183,1179,Calle 8742,,Mendoza,3094,AR,Mendoza
184,1180,Calle 4138,Piso 9 Dto B,Mar del Plata,8347,AR,Buenos Aires
185,1181,Calle 7911,,Mendoza,3735,AR,Mendoza
186,1182,Calle 4746,,Córdoba,4116,AR,Córdoba
187,1183,Calle 8413,Piso 2 Dto A,Mar del Plata,9344,AR,Buenos Aires
188,1184,Calle 6568,,Villa Carlos Paz,4015,AR,Córdoba
189,1185,Calle 9702,Piso 12 Dto A,CABA,9254,AR,Buenos Aires
190,1186,Calle 4856,,CABA,3803,AR,Buenos Aires
191,1187,Calle 4782,,CABA,5550,AR,Buenos Aires
192,1188,Calle 4080,,CABA,1022,AR,Buenos Aires
193,1189,Calle 5318,Piso 2 Dto C,Villa Carlos Paz,3189,AR,Córdoba
194,1190,Calle 5319,,Santa Fe,6824,AR,Santa Fe
195,1191,Calle 2896,,Villa Carlos Paz,7258,AR,Córdoba
196,1192,Calle 9902,Piso 9 Dto A,Rafaela,4614,AR,Santa Fe
197,1193,Calle 6480,,Mar del Plata,8109,AR,Buenos Aires
198,1194,Calle 1536,Piso 8 Dto A,La Plata,4031,AR,Buenos Aires
199,1195,Calle 2956,,La Plata,6081,AR,Buenos Aires
200,1196,Calle 9959,,Santa Fe,2180,AR,Santa Fe
201,1197,Calle 6595,,Mar del Plata,1193,AR,Buenos Aires
202,1198,Calle 1803,,CABA,3165,AR,Buenos Aires
203,1199,Calle 2337,,Santa Fe,1153,AR,Santa Fe
204,1200,Calle 1393,Piso 4 Dto A,La Plata,8279,AR,Buenos Aires
205,1201,Calle 2532,Piso 4 Dto A,La Plata,9906,AR,Buenos Aires
206,1202,Calle 1685,,CABA,9381,AR,Buenos Aires
207,1203,Calle 394,Piso 4 Dto B,CABA,3414,AR,Buenos Aires
208,1204,Calle 6304,,Córdoba,9057,AR,Córdoba
209,1205,Calle 1667,,Mendoza,6467,AR,Mendoza
210,1206,Calle 711,,CABA,8022,AR,Buenos Aires
211,1207,Calle 6968,Piso 3 Dto C,CABA,5702,AR,Buenos Aires
212,1208,Calle 8180,Piso 11 Dto B,Santa Fe,2251,AR,Santa Fe
213,1209,Calle 2402,Piso 6 Dto A,Rosario,8318,AR,Santa Fe
214,1210,Calle 9468,Piso 7 Dto C,Rosario,3370,AR,Santa Fe
215,1211,Calle 2980,Piso 7 Dto B,CABA,9097,AR,Buenos Aires
216,1212,Calle 9859,,La Plata,5028,AR,Buenos Aires
217,1213,Calle 8827,,La Plata,7301,AR,Buenos Aires
218,1214,Calle 8634,,Villa Carlos Paz,2429,AR,Córdoba
219,1215,Calle 282,Piso 6 Dto C,CABA,3188,AR,Buenos Aires
220,1216,Calle 5913,Piso 3 Dto B,La Plata,3361,AR,Buenos Aires
221,1217,Calle 3974,,Godoy Cruz,3257,AR,Mendoza
222,1218,Calle 2345,,San Rafael,7958,AR,Mendoza
223,1219,Calle 9530,,CABA,1494,AR,Buenos Aires
224,1220,Calle 4015,Piso 2 Dto A,CABA,3452,AR,Buenos Aires
225,1221,Calle 8642,Piso 12 Dto B,CABA,7742,AR,Buenos Aires
226,1222,Calle 217,,Mar del Plata,1983,AR,Buenos Aires
227,1223,Calle 8246,Piso 3 Dto A,Córdoba,7940,AR,Córdoba
228,1224,Calle 9373,,Villa Carlos Paz,7941,AR,Córdoba
229,1225,Calle 8545,,CABA,7560,AR,Buenos Aires
230,1226,Calle 9164,Piso 10 Dto A,CABA,8821,AR,Buenos Aires
231,1227,Calle 6234,Piso 3 Dto A,Villa Carlos Paz,7950,AR,Córdoba
232,1228,Calle 1275,Piso 6 Dto C,CABA,1459,AR,Buenos Aires
233,1229,Calle 1745,,Mar del Plata,6064,AR,Buenos Aires
234,1230,Calle 531,,Río Cuarto,1735,AR,Córdoba
235,1231,Calle 749,,Godoy Cruz,6056,AR,Mendoza
236,1232,Calle 6524,Piso 9 Dto A,Godoy Cruz,7400,AR,Mendoza
237,1233,Calle 1596,,San Rafael,9227,AR,Mendoza
238,1234,Calle 7815,Piso 10 Dto A,La Plata,3641,AR,Buenos Aires
239,1235,Calle 1529,,Córdoba,3307,AR,Córdoba
240,1236,Calle 8460,Piso 12 Dto C,San Rafael,8331,AR,Mendoza
241,1237,Calle 7060,Piso 1 Dto C,La Plata,4917,AR,Buenos Aires
242,1238,Calle 1229,Piso 3 Dto C,San Rafael,2595,AR,Mendoza
243,1239,Calle 8965,,La Plata,8451,AR,Buenos Aires
244,1240,Calle 2646,Piso 2 Dto B,La Plata,6789,AR,Buenos Aires
245,1241,Calle 7549,Piso 5 Dto B,Mar del Plata,8242,AR,Buenos Aires
246,1242,Calle 8000,Piso 1 Dto B,San Rafael,7568,AR,Mendoza
247,1243,Calle 2114,Piso 8 Dto B,Rafaela,7122,AR,Santa Fe
248,1244,Calle 7375,,Río Cuarto,1934,AR,Córdoba
249,1245,Calle 131,Piso 3 Dto A,Río Cuarto,7157,AR,Córdoba
250,1246,Calle 3655,,Córdoba,6716,AR,Córdoba
251,1247,Calle 7617,,Mar del Plata,2775,AR,Buenos Aires
252,1248,Calle 6579,Piso 6 Dto A,Rosario,6610,AR,Santa Fe
253,1249,Calle 7803,Piso 2 Dto B,Mar del Plata,1627,AR,Buenos Aires
254,1250,Calle 2385,Piso 11 Dto A,La Plata,1513,AR,Buenos Aires
255,1251,Calle 7047,,La Plata,4465,AR,Buenos Aires
256,1252,Calle 6930,,San Rafael,2369,AR,Mendoza
257,1253,Calle 1339,Piso 5 Dto C,La Plata,7876,AR,Buenos Aires
258,1254,Calle 3016,Piso 1 Dto A,La Plata,6603,AR,Buenos Aires
259,1255,Calle 6867,,La Plata,8156,AR,Buenos Aires
260,1256,Calle 6376,,San Rafael,2274,AR,Mendoza
261,1257,Calle 5186,Piso 1 Dto A,Mar del Plata,3416,AR,Buenos Aires
262,1258,Calle 6659,,Rosario,8381,AR,Santa Fe
263,1259,Calle 9477,,Río Cuarto,4074,AR,Córdoba
264,1260,Calle 9846,Piso 7 Dto A,Córdoba,4436,AR,Córdoba
265,1261,Calle 236,,San Rafael,5947,AR,Mendoza
266,1262,Calle 8178,Piso 11 Dto B,CABA,7723,AR,Buenos Aires
267,1263,Calle 6978,,Mar del Plata,3880,AR,Buenos Aires
268,1264,Calle 9057,Piso 10 Dto A,CABA,7251,AR,Buenos Aires
269,1265,Calle 7168,,Rafaela,2435,AR,Santa Fe
270,1266,Calle 6739,,CABA,8276,AR,Buenos Aires
271,1267,Calle 4750,,Córdoba,8448,AR,Córdoba
272,1268,Calle 7694,Piso 2 Dto B,CABA,7765,AR,Buenos Aires
273,1269,Calle 3669,Piso 9 Dto B,La Plata,5333,AR,Buenos Aires
274,1270,Calle 3958,,Santa Fe,1254,AR,Santa Fe
275,1271,Calle 8503,Piso 12 Dto C,La Plata,6490,AR,Buenos Aires
276,1272,Calle 3963,,Godoy Cruz,7444,AR,Mendoza
277,1273,Calle 7031,Piso 3 Dto C,Rafaela,3846,AR,Santa Fe
278,1274,Calle 2596,,San Rafael,3069,AR,Mendoza
279,1275,Calle 6423,,Mar del Plata,6282,AR,Buenos Aires
280,1276,Calle 7167,,CABA,1455,AR,Buenos Aires
281,1277,Calle 9369,,Mendoza,8433,AR,Mendoza
282,1278,Calle 3634,,Mar del Plata,7194,AR,Buenos Aires
283,1279,Calle 1360,,Villa Carlos Paz,2694,AR,Córdoba
284,1280,Calle 2011,Piso 2 Dto A,Mar del Plata,5292,AR,Buenos Aires
285,1281,Calle 5922,,La Plata,9045,AR,Buenos Aires
286,1282,Calle 1251,Piso 4 Dto C,La Plata,7148,AR,Buenos Aires
287,1283,Calle 2640,,Villa Carlos Paz,3927,AR,Córdoba
288,1284,Calle 5682,,La Plata,3595,AR,Buenos Aires
289,1285,Calle 3160,,Córdoba,9486,AR,Córdoba
290,1286,Calle 5979,,Rosario,6366,AR,Santa Fe
291,1287,Calle 2074,Piso 5 Dto B,Mar del Plata,4264,AR,Buenos Aires
292,1288,Calle 4823,Piso 8 Dto C,Mar del Plata,8144,AR,Buenos Aires
293,1289,Calle 4098,Piso 3 Dto A,Mendoza,7436,AR,Mendoza
294,1290,Calle 5106,Piso 3 Dto A,Río Cuarto,8101,AR,Córdoba
295,1291,Calle 4452,,Mar del Plata,7275,AR,Buenos Aires
296,1292,Calle 6127,Piso 11 Dto A,La Plata,3740,AR,Buenos Aires
297,1293,Calle 9616,Piso 7 Dto B,Godoy Cruz,7525,AR,Mendoza
298,1294,Calle 7036,,La Plata,2190,AR,Buenos Aires
299,1295,Calle 2377,,Villa Carlos Paz,6219,AR,Córdoba
300,1296,Calle 7625,,Córdoba,2085,AR,Córdoba
301,1297,Calle 8639,Piso 4 Dto A,CABA,2225,AR,Buenos Aires
302,1298,Calle 5207,,Villa Carlos Paz,1813,AR,Córdoba
303,1299,Calle 6902,Piso 2 Dto A,La Plata,3803,AR,Buenos Aires
304,1300,Calle 9444,,Córdoba,1076,AR,Córdoba
305,1301,Calle 607,,La Plata,6527,AR,Buenos Aires
306,1302,Calle 6801,Piso 12 Dto B,CABA,6196,AR,Buenos Aires
307,1303,Calle 5132,,Mar del Plata,7444,AR,Buenos Aires
308,1304,Calle 8083,Piso 11 Dto A,Villa Carlos Paz,2683,AR,Córdoba
309,1305,Calle 2274,Piso 2 Dto B,CABA,4708,AR,Buenos Aires
310,1306,Calle 6044,,Mar del Plata,5254,AR,Buenos Aires
311,1307,Calle 1230,Piso 5 Dto B,La Plata,5422,AR,Buenos Aires
312,1308,Calle 7549,Piso 2 Dto A,San Rafael,3424,AR,Mendoza
313,1309,Calle 2005,,Río Cuarto,8830,AR,Córdoba
314,1310,Calle 7909,Piso 4 Dto A,Godoy Cruz,5853,AR,Mendoza
315,1311,Calle 3374,,CABA,9103,AR,Buenos Aires
316,1312,Calle 3542,,Mar del Plata,8989,AR,Buenos Aires
317,1313,Calle 8645,Piso 9 Dto B,Mar del Plata,8438,AR,Buenos Aires
318,1314,Calle 2131,Piso 4 Dto B,Rosario,8412,AR,Santa Fe
319,1315,Calle 3080,Piso 2 Dto B,La Plata,3690,AR,Buenos Aires
320,1316,Calle 1673,,San Rafael,2805,AR,Mendoza
321,1317,Calle 3065,Piso 5 Dto A,La Plata,9698,AR,Buenos Aires
322,1318,Calle 9017,Piso 2 Dto B,CABA,4474,AR,Buenos Aires
323,1319,Calle 8322,Piso 6 Dto A,La Plata,5466,AR,Buenos Aires
324,1320,Calle 6268,,Mar del Plata,5816,AR,Buenos Aires
325,1321,Calle 4521,Piso 9 Dto C,Mar del Plata,9497,AR,Buenos Aires
326,1322,Calle 4079,,CABA,1870,AR,Buenos Aires
327,1323,Calle 1079,Piso 9 Dto A,Córdoba,4710,AR,Córdoba
328,1324,Calle 3603,Piso 12 Dto C,CABA,9112,AR,Buenos Aires
329,1325,Calle 5696,Piso 11 Dto B,CABA,1050,AR,Buenos Aires
330,1326,Calle 7812,,Mar del Plata,3789,AR,Buenos Aires
331,1327,Calle 3070,,Córdoba,1208,AR,Córdoba
332,1328,Calle 2909,,CABA,1159,AR,Buenos Aires
333,1329,Calle 17,Piso 8 Dto A,San Rafael,2792,AR,Mendoza
334,1330,Calle 4763,,Rafaela,3401,AR,Santa Fe
335,1331,Calle 5500,Piso 8 Dto B,Mar del Plata,9940,AR,Buenos Aires
336,1332,Calle 5969,Piso 8 Dto A,Villa Carlos Paz,5933,AR,Córdoba
337,1333,Calle 9761,Piso 8 Dto A,Rafaela,9508,AR,Santa Fe
338,1334,Calle 3609,Piso 11 Dto A,La Plata,9156,AR,Buenos Aires
339,1335,Calle 7057,,Mar del Plata,4175,AR,Buenos Aires
340,1336,Calle 8928,,Villa Carlos Paz,5346,AR,Córdoba
341,1337,Calle 9653,Piso 7 Dto B,Santa Fe,4122,AR,Santa Fe
342,1338,Calle 5625,Piso 10 Dto A,Río Cuarto,8455,AR,Córdoba
343,1339,Calle 8175,Piso 11 Dto A,CABA,3461,AR,Buenos Aires
344,1340,Calle 9145,Piso 11 Dto A,San Rafael,8976,AR,Mendoza
345,1341,Calle 256,,La Plata,5636,AR,Buenos Aires
346,1342,Calle 84,,La Plata,1817,AR,Buenos Aires
347,1343,Calle 8225,,La Plata,2409,AR,Buenos Aires
348,1344,Calle 3224,,Mar del Plata,5764,AR,Buenos Aires
349,1345,Calle 4076,Piso 11 Dto C,La Plata,7923,AR,Buenos Aires
350,1346,Calle 4281,Piso 5 Dto C,Mendoza,3839,AR,Mendoza
351,1347,Calle 9473,,La Plata,5096,AR,Buenos Aires
352,1348,Calle 4933,Piso 5 Dto A,CABA,8555,AR,Buenos Aires
353,1349,Calle 1574,Piso 3 Dto C,La Plata,6132,AR,Buenos Aires
354,1350,Calle 5859,Piso 8 Dto B,San Rafael,8643,AR,Mendoza
355,1351,Calle 454,Piso 9 Dto A,Godoy Cruz,2448,AR,Mendoza
356,1352,Calle 3976,Piso 10 Dto C,Villa Carlos Paz,3085,AR,Córdoba
357,1353,Calle 878,Piso 7 Dto A,Santa Fe,1097,AR,Santa Fe
358,1354,Calle 7541,,Rafaela,5426,AR,Santa Fe
359,1355,Calle 4761,Piso 10 Dto B,CABA,1997,AR,Buenos Aires
360,1356,Calle 8370,,Río Cuarto,4359,AR,Córdoba
361,1357,Calle 8116,,Mar del Plata,5929,AR,Buenos Aires
362,1358,Calle 7946,,Córdoba,2879,AR,Córdoba
363,1359,Calle 1984,,Mar del Plata,4347,AR,Buenos Aires
364,1360,Calle 7272,,Mar del Plata,5913,AR,Buenos Aires
365,1361,Calle 3850,Piso 9 Dto B,CABA,3018,AR,Buenos Aires
366,1362,Calle 3028,,CABA,3797,AR,Buenos Aires
367,1363,Calle 3283,Piso 8 Dto B,Río Cuarto,5742,AR,Córdoba
368,1364,Calle 6019,Piso 11 Dto B,Godoy Cruz,7321,AR,Mendoza
369,1365,Calle 2428,Piso 1 Dto B,La Plata,2968,AR,Buenos Aires
370,1366,Calle 4961,Piso 1 Dto C,Mar del Plata,1698,AR,Buenos Aires
